Country,City,AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Spain,Torre Del Campo,29,17,3,29
Russian Federation,Totma,54,27,1,54
Italy,Treviglio,110,30,7,110
China,Tucheng,167,167,1,123
Latvia,Tukums,32,32,0,27
Kyrgyzstan,Tyup,61,34,0,61
Netherlands,Uitgeest,44,37,1,44
India,Unnao,188,121,1,188
Russian Federation,Ust Ilimsk,63,37,0,63
Pakistan,Utmanzai,77,55,0,77
India,Vadakku Valliyur,57,25,0,57
Mexico,Valle De Santiago,57,6,7,57
Denmark,Varde,41,34,0,41
Ukraine,Vasylivka,38,38,0,13
Malaysia,Bedong,70,49,0,70
Russian Federation,Beloyarskiy,45,34,0,45
India,Belsand,132,103,1,132
Turkey,Bergama,42,42,0,26
United Republic of Tanzania,Biharamulo,27,17,0,27
India,Bijnor,168,168,1,151
,Bognor Regis,51,24,8,51
Italy,Bologna,45,32,4,45
Turkey,Bozova,68,38,1,68
United States of America,Brewster,29,29,2,14
United States of America,Broadview Heights,45,45,3,33
Germany,Buchen,53,33,3,53
Ukraine,Burshtyn,88,38,1,88
Chile,Calera,158,0,20,158
Italy,Caltanissetta,56,35,3,56
Philippines,Calumpit,63,23,1,63
Romania,Giurgiu,52,48,0,52
Pakistan,Gojra,175,71,8,175
India,Gokak,98,27,4,98
Canada,Grosse Ile,66,34,3,66
Brazil,Guaruja,56,27,2,56
United States of America,Guthrie,54,47,1,54
United States of America,Hamden,57,39,7,57
Belgium,Hamme,50,38,2,50
India,Hirakud,156,67,2,156
Netherlands,Hoorn,38,38,0,34
United States of America,Horn Lake,71,60,1,71
Nigeria,Igede,74,35,0,74
Nigeria,Ikorodu,86,36,1,86
Brazil,Indaiatuba,75,32,1,75
Poland,Inowroclaw,42,42,0,26
Brazil,Ipanema,29,21,0,29
Brazil,Iracemapolis,88,21,3,88
Russian Federation,Ivdel,52,38,0,52
Japan,Iwai,78,27,17,78
India,Jaggayyapeta,161,41,6,161
Brazil,Jandaia Do Sul,35,19,0,35
China,Jiuquan,240,36,2,240
Afghanistan,Jurm,128,26,0,128
India,Kallidaikurichchi,67,23,2,67
Japan,Kamiiso,52,39,1,52
United Republic of Tanzania,Kasamwa,50,19,0,50
Russian Federation,Kashin,33,33,0,12
Poland,Kedzierzyn Kozle,59,44,0,59
Nigeria,Duku,63,19,0,63
Philippines,Dulag,54,17,0,54
Canada,Elliot Lake,39,30,0,39
Myanmar,Dawei,29,22,0,29
Romania,Dej,58,33,2,58
Spain,Denia,36,33,2,36
Ethiopia,Dilla,58,17,0,58
Thailand,Photharam,32,22,0,32
Italy,Pioltello,71,43,4,71
Bulgaria,Popovo,41,41,0,33
Cambodia,Pousat,26,18,0,26
Croatia,Pozega,60,37,1,60
,Probolinggo,75,42,1,75
Colombia,Puerto Colombia,108,20,2,108
India,Pullampadi,56,28,0,56
Peru,Puno,23,12,1,23
Tunisia,Qabis,106,43,1,106
India,Rajpipla,162,30,0,162
France,Rambouillet,75,20,6,75
United Kingdom of Great Britain and Northern Ireland,Omagh,29,29,1,12
Burkina Faso,Orodara,50,16,0,50
Kazakhstan,Oskemen,46,35,0,46
Poland,Ostrowiec Swietokrzyski,78,34,2,78
Brazil,Otacilio Costa,74,15,1,74
Nigeria,Ozubulu,170,19,9,170
Afghanistan,Pagman,87,39,0,87
Philippines,Pamplona,81,14,0,81
United States of America,Peoria,49,21,14,49
,Permatang Kuching,76,61,0,76
Russian Federation,Persianovskiy,38,38,1,33
Brazil,Pesqueira,17,16,0,17
Viet Nam,Phan Rang,62,30,0,62
United States of America,Rancho Palos Verdes,81,8,33,81
Germany,Ratisbon,52,46,2,52
Belgium,Ravels,30,30,3,30
United States of America,Raytown,54,34,4,54
Bulgaria,Razlog,48,38,0,48
Brazil,Realeza,37,14,0,37
Germany,Recklinghausen,34,34,2,34
India,Renukut,173,108,1,173
Italy,Rezzato,64,27,7,64
Belgium,Rijkevorsel,32,32,2,29
United States of America,River Falls,48,41,2,48
Brazil,Rolante,55,14,2,55
Russian Federation,Roshal,37,32,3,37
,Rovinj,54,38,2,54
China,Rucheng,171,171,4,141
Guatemala,Sacapulas,73,3,7,73
Japan,Sagae,37,37,1,21
Canada,Saint Georges,31,9,2,31
France,Saint Maurice,71,20,6,71
France,Saint Nazaire,30,30,3,15
France,Saint Pierre Des Corps,47,24,3,47
India,Sakti,178,121,2,178
Philippines,Sampaloc,54,23,1,54
Tunisia,Qurbah,31,31,3,29
Chile,Temuco,30,22,2,30
Mexico,Tenosique,61,13,1,61
Russian Federation,Tikhvin,32,32,0,13
Russian Federation,Lakinsk,29,28,4,29
,Lamu,21,21,0,16
France,Laval,41,30,2,41
United States of America,Los Alamitos,94,11,34,94
Spain,Los Corrales De Buelna,43,43,0,23
Italy,Lugo,53,33,5,53
United Kingdom of Great Britain and Northern Ireland,Lurgan,30,30,1,20
Netherlands,Maasbracht,38,28,3,38
United States of America,Madison,45,41,10,45
United States of America,Madisonville,73,28,11,73
India,Mahad,95,23,0,95
Pakistan,Malakwal,149,128,1,149
India,Manchar,112,25,0,112
United States of America,Manitowoc,44,27,7,44
Sudan,Marabba,37,16,0,37
Brazil,Maracaju,14,14,0,13
Brazil,Maracana,50,16,0,50
Niger,Mayahi,56,26,1,56
India,Mehnagar,180,171,1,180
Germany,Meppen,35,34,1,35
Belgium,Middelkerke,38,33,2,38
Germany,Monheim,45,25,4,45
Switzerland,Monthey,63,29,1,63
United States of America,Mount Dora,69,12,13,69
India,Munak,166,141,1,166
India,Naenwa,176,43,0,176
Hungary,Nagykallo,66,37,1,66
United States of America,New Brunswick,61,15,19,61
India,Nihtaur,166,166,1,140
China,Ningbo,205,205,4,151
Brazil,Niteroi,160,1,23,160
,Kanniyakumari,53,25,0,53
Poland,Ketrzyn,36,33,0,36
India,Khem Karan,156,132,1,156
Serbia,Kikinda,87,40,2,87
India,Kiratpur,169,169,1,141
United Republic of Tanzania,Kitama,28,21,0,28
Russian Federation,Kolchugino,49,22,9,49
Burkina Faso,Kombissiri,38,12,1,38
Norway,Kongsberg,35,35,0,17
Greece,Korinthos,41,41,0,31
Uzbekistan,Kosonsoy,95,54,0,95
South Africa,Ladybrand,80,13,2,80
Thailand,Laem Sing,43,22,0,43
Sweden,Norrtalje,30,29,0,30
United Kingdom of Great Britain and Northern Ireland,Northwich,42,29,4,42
Ukraine,Nova Kakhovka,45,45,0,6
Russian Federation,Novaya Usman,34,34,1,25
Russian Federation,Novotroitsk,39,39,0,27
Philippines,Obando,64,23,1,64
United States of America,Oildale,52,12,15,52
China,Jinchang,121,62,0,121
United States of America,Justice,58,30,13,58
Sierra Leone,Kabala,37,16,0,37
