Country,City,AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Canada,Whitchurch Stouffville,37,25,2,37
Canada,Winnipeg,54,23,0,54
Poland,Wloclawek,41,41,0,24
Switzerland,Worb,44,42,0,44
Germany,Augustdorf,37,34,2,37
Italy,Avellino,48,46,2,48
Sweden,Avesta,50,32,1,50
Mexico,Axochiapan,65,11,6,65
France,Bagneux,72,20,6,72
Italy,Brugherio,74,29,8,74
Nigeria,Bugama,167,36,4,167
Democratic Republic of the Congo,Bulungu,372,37,13,372
Ethiopia,Bure,78,26,0,78
Slovakia,Bytca,78,41,1,78
Brazil,Cachoeiras De Macacu,78,11,6,78
Spain,Calella,63,42,3,63
Mexico,Calvillo,61,25,1,61
Brazil,Campo Alegre,25,16,1,25
Italy,Campobello Di Licata,52,31,4,52
Romania,Cluj Napoca,60,40,2,60
,Coatzacoalcos,111,17,2,111
Spain,Cocentaina,38,35,2,38
United States of America,Cocoa Beach,59,28,6,59
Australia,Coffs Harbour,27,27,0,17
Bolivia (Plurinational State of),Cotoca,16,9,0,16
Portugal,Covilha,17,17,1,14
France,Concarneau,51,43,1,51
United States of America,Crossville,65,18,11,65
El Salvador,Cuscatancingo,118,7,13,118
Portugal,Custoias,18,18,1,15
Senegal,Dahra,164,17,2,164
India,Dakor,151,43,0,151
United States of America,Prairie Village,49,33,7,49
Colombia,Puerto Rico,26,3,1,26
India,Puliyankudi,42,26,0,42
Russian Federation,Pyshma,32,32,0,26
Germany,Radolfzell,57,37,2,57
Indonesia,Rajapolah,58,35,0,58
India,Rajgurunagar,138,33,2,138
Germany,Poing,68,39,3,68
,Pontal Do Parana,53,11,2,53
Cambodia,Kampong Thum,44,21,0,44
Japan,Kanuma,42,42,1,36
India,Karari,223,46,0,223
Uzbekistan,Karauzyak,76,40,0,76
India,Katghora,166,56,1,166
Republic of North Macedonia,Kavadarci,58,44,0,58
Myanmar,Kayan,56,24,0,56
Mali,Kayes,113,28,1,113
Senegal,Kebemer,101,27,1,101
Kazakhstan,Kentau,105,34,0,105
Poland,Gniezno,33,33,0,31
India,Gormi,188,46,0,188
United States of America,Green Bay,48,19,7,48
Poland,Grodzisk Mazowiecki,34,34,1,29
Colombia,Guaduas,73,10,4,73
,Guaratuba,45,17,3,45
Egypt,Fowa,68,68,4,62
Germany,Friedberg,33,32,3,33
France,Frontignan,48,37,0,48
India,Garhshankar,325,160,2,325
United States of America,Garner,62,31,5,62
,Gazimagusa,47,47,0,26
Iran (Islamic Republic of),Javanrud,84,46,0,84
India,Jawhar,142,27,0,142
India,Jaysingpur,90,24,0,90
Belgium,Jodoigne,37,30,3,37
Finland,Joensuu,37,37,0,26
India,Joshimath,70,44,0,70
India,Joura,174,45,0,174
Democratic Republic of the Congo,Kabare,55,24,0,55
Ghana,Kade,84,18,1,84
Germany,Hilchenbach,34,34,1,27
Japan,Hitachi,44,44,0,34
United Kingdom of Great Britain and Northern Ireland,Hoddesdon,29,27,2,29
Czechia,Hodonin,43,31,1,43
United States of America,Howard,49,19,8,49
Germany,Hunfeld,33,33,2,33
Germany,Idstein,34,34,2,31
Nigeria,Ikire,101,20,3,101
United Republic of Tanzania,Ilembula,18,18,0,18
South Africa,Danielskuil,29,21,0,29
Uzbekistan,Denau,82,53,0,82
Australia,Devonport,32,27,0,32
India,Dhuri,500,50,1,471
Viet Nam,Dien Bien,21,21,0,20
Pakistan,Dinga,196,164,1,196
Guatemala,Dolores,27,11,0,27
Mexico,Gustavo Diaz Ordaz,76,19,3,76
India,Guwahati,147,46,1,147
China,Haizhou,171,171,3,132
India,Hasanpur,500,55,1,500
Turkey,Hayrabolu,42,42,1,23
Uzbekistan,Hazorasp,147,41,0,147
France,Hem,38,23,3,38
China,Hengshui,188,188,4,141
France,Herouville Saint Clair,40,28,3,40
Poland,Minsk Mazowiecki,46,33,1,46
Japan,Miyako,35,35,0,22
Brazil,Mocajuba,38,3,0,38
Germany,Moglingen,32,32,1,26
Afghanistan,Kusk,198,35,0,198
Mexico,La Cruz,35,14,1,35
El Salvador,La Libertad,71,19,5,71
Nigeria,Ipoti,76,24,1,76
Brazil,Itabaianinha,35,7,2,35
Brazil,Itacarambi,21,7,1,21
Brazil,Itapuranga,38,12,2,38
Italy,Enna,46,43,0,46
Sweden,Eskilstuna,38,38,0,32
France,Faaa,29,29,0,15
Sweden,Fagersta,35,35,0,26
United States of America,Faribault,34,30,5,34
Romania,Flamanzi,68,45,0,68
France,Fontenay Aux Roses,50,20,5,50
United States of America,Foothill Farms,51,26,8,51
United Kingdom of Great Britain and Northern Ireland,Formby,66,33,0,66
Brazil,Formosa Do Rio Preto,16,8,0,16
United States of America,Fort Carson,62,15,9,62
India,Machilipatnam,134,41,1,134
France,Dreux,39,18,3,39
Germany,Drolshagen,35,35,1,27
Mexico,Dzitbalche,43,22,0,43
Mexico,Eagle Pass,45,21,3,45
United States of America,Easley,69,22,10,69
United States of America,East Massapequa,81,41,11,81
Nigeria,Effium,121,26,2,121
Russian Federation,Elektrougli,43,29,4,43
United States of America,Elizabeth City,59,43,2,59
United States of America,Elizabeth,61,43,6,61
Greece,Ellinikon,70,41,4,70
United States of America,Olympia Heights,91,7,16,91
Japan,Omigawa,42,42,1,35
United States of America,Opelousas,49,12,7,49
Turkey,Ordu,32,32,0,24
Republic of North Macedonia,Oslomej,45,40,0,45
Russian Federation,Ostashkov,31,31,0,20
Ukraine,Ostroh,64,32,0,64
Japan,Otawara,44,44,1,32
Italy,Ottaviano,46,46,2,18
United States of America,Ottawa,69,32,5,69
United States of America,Owensboro,72,24,13,72
Thailand,Pa Daet,28,26,0,28
Hungary,Paks,51,28,2,51
Chile,Panguipulli,14,14,1,14
Thailand,Pathum Thani,63,26,1,63
India,Patiala,500,64,1,460
India,Pavagada,73,27,0,73
India,Phalauda,500,48,1,500
,Lipari,50,39,1,50
United Republic of Tanzania,Liuli,17,17,0,14
Spain,Lloret De Mar,64,46,1,64
Belgium,Lochristi,39,31,3,39
Germany,Lohfelden,54,35,2,54
United States of America,Long Branch,76,32,13,76
Brazil,Louveira,122,5,11,122
Germany,Ludwigsfelde,51,34,2,51
Philippines,Lupao,73,23,2,73
United Republic of Tanzania,Mabamba,34,15,0,34
Niger,Madaoua,44,26,1,44
India,Maddur,43,23,0,43
Germany,Mainz,62,42,2,62
Nigeria,Makurdi,84,29,1,84
India,Mallur,57,29,1,57
India,Manali,120,25,3,120
India,Manavalakurichi,55,23,0,55
Pakistan,Mandi Bahauddin,156,117,0,156
India,Mannarakkat,66,22,1,66
United States of America,Mansfield,74,11,23,74
Armenia,Martuni,43,33,0,43
Japan,Maruko,31,31,1,9
Italy,Mascali,61,33,2,61
Spain,Mataro,67,33,8,67
Venezuela (Bolivarian Republic of),Maturin,56,15,0,56
Senegal,Mbacke,157,12,3,157
Germany,Meerane,69,38,1,69
Indonesia,Mentok,50,30,0,50
United States of America,Merrillville,36,36,5,24
Romania,Oltenita,41,38,1,41
United States of America,Oneida,41,20,4,41
Ukraine,Orikhiv,42,42,0,40
Turkey,Ortakoy,50,35,0,50
Germany,Osterhofen,54,47,2,54
United States of America,Overland,52,41,4,52
Portugal,Palmela,36,36,3,16
Russian Federation,Pangody,33,24,0,33
Guatemala,Panzos,68,5,4,68
Brazil,Paracatu,26,8,1,26
Indonesia,Parakan,99,57,1,99
Malaysia,Parit Raja,89,39,0,89
Malaysia,Pasir Mas,65,36,0,65
Brazil,Pedro Juan Caballero,18,12,0,18
Germany,Perleberg,34,34,1,22
United States of America,North Providence,67,20,16,67
United Kingdom of Great Britain and Northern Ireland,Northallerton,55,12,11,55
Germany,Nottuln,34,34,1,26
Republic of North Macedonia,Novo Selo,64,38,0,64
Guatemala,Nueva Concepcion,95,14,10,95
Russian Federation,Nyazepetrovsk,30,30,0,26
United States of America,Oak Harbor,33,30,5,33
Namibia,Okahandja,51,24,0,51
United States of America,Moorpark,59,27,15,59
Portugal,Moscavide,40,40,3,16
United States of America,Mountain Brook,73,33,6,73
India,Muzhappilangad,73,23,0,73
Hungary,Nagykanizsa,65,33,2,65
India,Nalagarh,127,127,1,124
India,Namakkal,54,28,0,54
China,Nanchong,163,47,20,163
India,Nandura,150,31,0,150
Germany,Morlenbach,56,43,2,56
India,Narnaund,152,134,1,152
India,Nathdwara,196,33,0,196
Iran (Islamic Republic of),Neka,137,49,1,137
Germany,Neumunster,34,34,0,15
United States of America,Newington,83,7,31,83
Indonesia,Ngemplak,63,35,0,63
Japan,Nikko,32,32,1,12
Philippines,Midsayap,54,25,0,54
Poland,Miedzyrzecz,72,36,1,72
Japan,Mikuni,51,51,1,34
United States of America,Millburn,103,12,27,103
United States of America,Milwaukee,49,29,9,49
Iran (Islamic Republic of),Minab,154,117,0,154
Russian Federation,Altayskoye,34,34,0,18
Cuba,Amancio,51,23,1,51
Indonesia,Ambarawa,86,53,1,86
Portugal,Amora,31,31,5,28
Brazil,Amparo,53,6,4,53
Italy,Aprilia,90,46,0,90
Brazil,Aracoiaba,31,11,1,31
Brazil,Aracuai,32,4,2,32
Italy,Aragona,66,46,0,66
Armenia,Abovyan,56,40,0,56
Cuba,Abreus,112,21,3,112
Côte d'Ivoire,Affery,50,16,0,50
Pakistan,Ahmadpur East,196,117,0,196
Iceland,Akureyri,23,23,0,12
Russian Federation,Aleksandrovsk,36,33,0,36
Spain,Alfafar,35,29,4,35
United States of America,Allen,53,30,5,53
Nigeria,Bama,87,29,0,87
India,Bansdih,154,91,2,154
United States of America,Baraboo,41,26,4,41
India,Barauli,114,67,2,114
India,Barmer,328,29,0,246
Germany,Bautzen,73,40,2,73
United States of America,Baytown,78,15,8,78
United States of America,Bellmawr,52,29,9,52
Somalia,Bereda,101,24,0,101
India,Bhawanipatna,159,66,0,159
India,Bhongaon,166,156,1,166
Spain,Arnedo,62,19,2,62
Spain,Arucas,25,25,0,8
Costa Rica,Aserri,61,9,8,61
Germany,Attendorn,69,36,4,69
Spain,Avila,45,22,2,45
Guatemala,Ayutla,86,20,7,86
Germany,Bad Pyrmont,65,40,5,65
United States of America,Brookline,48,28,8,48
India,Byadgi,25,25,1,19
Brazil,Caetite,25,7,1,25
Spain,Calafell,43,43,1,35
Spain,Camas,27,27,1,17
Italy,Canicatti,59,45,0,59
Colombia,Carmen De Viboral,73,9,6,73
Italy,Casalecchio Di Reno,64,42,2,64
Iran (Islamic Republic of),Chabahar,150,83,0,150
China,Changli,116,116,2,92
India,Charkhari,161,159,0,161
United States of America,Cherry Hill,52,29,9,52
India,Chikhli,102,37,0,102
Indonesia,Cibadak,181,181,3,157
Italy,Citta Di Castello,92,37,2,92
Italy,Bisceglie,45,45,1,23
India,Bithur,172,157,1,172
Turkey,Bitlis,46,46,0,41
Germany,Blumberg,56,41,1,56
India,Bokajan,59,29,0,59
United Kingdom of Great Britain and Northern Ireland,Borehamwood,34,34,4,19
Bulgaria,Botevgrad,86,46,1,86
Czechia,Breclav,78,39,1,78
United Kingdom of Great Britain and Northern Ireland,Bridgwater,56,20,7,56
Italy,Collegno,58,35,3,58
Venezuela (Bolivarian Republic of),Coro,151,22,0,151
Brazil,Coruripe,24,16,0,24
Germany,Cottbus,70,29,4,70
United Kingdom of Great Britain and Northern Ireland,Crewe,32,32,4,21
Brazil,Crixas,37,8,0,37
United Kingdom of Great Britain and Northern Ireland,Crosby,34,34,3,21
Guatemala,Cuilapa,86,4,8,86
Japan,Daito,31,31,3,23
Indonesia,Adiwerna,92,49,1,92
Mexico,Ajoloapan,117,17,4,117
Bulgaria,Ajtos,45,45,0,39
Nigeria,Aku,144,19,5,144
Philippines,Alaminos,42,25,1,42
Romania,Alba Iulia,62,35,0,62
Germany,Alfeld,37,37,1,36
Ukraine,Yavoriv,76,44,0,76
Nigeria,Yola,71,35,0,71
Peru,Yunguyo,51,16,0,51
Guatemala,Zacapa,59,15,1,59
Belgium,Zandhoven,47,38,1,47
Germany,Zeitz,53,48,0,53
Russian Federation,Zeya,78,34,0,78
Kazakhstan,Zharkent,72,30,0,72
,Zhenhai,152,28,21,152
China,Zhongshu,96,12,9,96
Russian Federation,Zhukovskiy,46,31,9,46
Bosnia and Herzegovina,Zivinice,63,49,0,63
Ukraine,Zolotonosha,52,46,0,52
Kazakhstan,Zyryanovsk,24,16,1,24
Ecuador,Bahia De Caraquez,21,19,0,21
Romania,Baia Mare,58,37,0,58
India,Bail Hongal,58,23,0,58
Cuba,Baragua,39,20,1,39
India,Baraut,163,161,3,163
Brazil,Barretos,32,13,1,32
United States of America,Bartlett,65,30,5,65
India,Basugaon,42,39,0,42
Cuba,Batabano,51,21,1,51
Brazil,Bebedouro,37,12,1,37
,Benicia,37,31,8,37
Chad,Benoy,68,13,0,68
United States of America,Bensenville,52,31,10,52
Malaysia,Bentong,89,42,0,89
Japan,Beppu,37,37,1,16
India,Bhalki,78,28,0,78
Brazil,Boa Esperanca Do Sul,51,12,1,51
Nicaragua,Boaco,60,15,1,60
Spain,Boiro,34,34,2,18
Romania,Campulung Moldovenesc,37,37,0,34
Turkey,Canakkale,49,46,0,49
United States of America,Cape Girardeau,52,41,4,52
United Kingdom of Great Britain and Northern Ireland,Carmarthen,60,15,8,60
Spain,Ceuta,44,33,3,44
Philippines,Buluan,38,20,0,38
Brazil,Buritama,38,11,1,38
Brazil,Buritizeiro,20,14,0,20
Italy,Busca,131,28,2,131
Brazil,Cacador,59,17,0,59
Peru,Cajamarca,44,3,2,44
United States of America,Athens,69,36,6,69
Brazil,Atibaia,150,5,12,150
Mexico,Atlacomulco,83,21,3,83
France,Aulnay Sous Bois,68,21,5,68
Germany,Bad Camberg,68,35,3,68
Spain,Badajoz,37,37,1,10
Cameroon,Bafia,77,16,0,77
Spain,Tafalla,38,38,0,9
Egypt,Talkha,78,78,2,64
India,Talwara,158,35,9,158
Hungary,Tapolca,64,64,0,56
Philippines,Tarlac,154,25,7,154
Poland,Tarnobrzeg,54,45,0,54
Argentina,Tartagal,18,18,0,5
Brazil,Taubate,50,22,0,50
United Republic of Tanzania,Uyovu,26,23,0,26
Russian Federation,Vasilyevo,38,36,1,38
Romania,Vatra Dornei,47,40,0,47
Brazil,Vera Cruz,25,20,0,25
Russian Federation,Verkhnyaya Pyshma,41,41,2,22
Thailand,Surin,85,18,4,85
Libya,Surman,83,49,2,83
Cambodia,Ta Khmau,73,7,5,73
India,Singarayakonda,89,40,2,89
Hungary,Dorog,76,36,2,76
United States of America,Downey,117,4,39,117
Canada,Drummondville,55,7,7,55
India,Dugda,152,123,1,152
South Africa,Duiwelskloof,63,26,1,63
Slovakia,Dunajska Streda,70,33,2,70
United States of America,East Haven,85,9,33,85
United States of America,Eastlake,39,39,4,25
Eritrea,Edd,163,41,0,163
United States of America,Eden Prairie,52,42,3,52
Germany,Eichenau,49,42,2,49
Netherlands,Eindhoven,30,30,2,30
South Africa,Ekuvukeni,58,19,1,58
South Africa,Ellisras,92,21,14,92
Germany,Erfurt,71,31,3,71
Portugal,Faro,35,35,2,25
Central African Republic,Damara,54,11,0,54
China,Danjiangkou,154,154,1,60
Afghanistan,Dawlatabad,92,43,0,92
Belgium,Dendermonde,42,28,4,42
India,Deolali,138,25,0,138
Indonesia,Depok,60,33,0,60
United States of America,Des Plaines,54,30,11,54
Germany,Diedorf,51,30,5,51
United States of America,Phoenixville,68,31,7,68
Italy,Piano Di Sorrento,58,52,2,58
Mexico,Queretaro,139,10,8,139
Philippines,Quisao,54,23,1,54
India,Rajampet,92,26,0,92
Indonesia,Rantepao,14,14,0,14
India,Renigunta,77,27,0,77
United States of America,Renton,33,31,5,33
Russian Federation,Rezh,31,31,0,22
Germany,Roding,53,47,1,53
Russian Federation,Pokhvistnevo,50,31,0,50
Russian Federation,Pokrov,57,24,10,57
Brazil,Ponte Nova,44,12,2,44
Germany,Preetz,34,34,0,15
Bulgaria,Provadija,42,40,1,42
Poland,Puck,87,24,3,87
United Kingdom of Great Britain and Northern Ireland,Pudsey,61,11,10,61
Azerbaijan,Qovlar,34,34,0,15
Lesotho,Quthing,77,9,2,77
Mexico,Rafael Lara Grajales,90,15,5,90
India,Sadalgi,75,22,0,75
United States of America,Saddle Brook,115,8,31,115
Pakistan,Sadiqabad,203,89,1,203
Italy,Salerno,51,51,1,46
Lithuania,Alytus,29,29,1,22
India,Anand,163,34,0,163
China,Anjiang,147,147,1,93
India,Anklesvar,156,26,0,156
Poland,Gorlice,80,31,2,80
Poland,Grajewo,42,25,1,42
Cuba,Guaimaro,50,20,2,50
France,Haguenau,45,33,3,45
United States of America,Hanover,58,21,14,58
Germany,Haren,33,33,1,14
Netherlands,Harlingen,35,35,0,14
Pakistan,Hasilpur,198,87,0,198
India,Hathras,192,135,1,192
France,Hautmont,58,26,5,58
New Zealand,Hawera,26,26,0,15
Jordan,Hawwarah,113,46,4,113
United States of America,Hazleton,60,28,6,60
South Africa,Hendrina,56,22,4,56
Germany,Henstedt Ulzburg,33,33,1,14
Myanmar,Henzada,50,23,0,50
France,Fort De France,136,26,0,136
United States of America,Fortuna,37,27,4,37
Cameroon,Fundong,97,12,1,97
Japan,Funehiki,40,40,1,26
Turkmenistan,Gazanjyk,127,42,0,127
Germany,Gemunden,66,37,3,66
Mexico,Huixquilucan,167,5,19,167
Greece,Ialisos,66,47,0,66
Brazil,Ibipeba,14,14,0,12
Japan,Hikari,41,41,1,37
Honduras,Cofradia,74,8,3,74
Portugal,Coimbra,27,27,3,23
United States of America,Commack,98,8,39,98
Mexico,Cosamaloapan,88,21,4,88
Brazil,Cotia,169,1,20,169
Brazil,Coxim,53,6,1,53
United States of America,Cullman,75,34,6,75
Italy,Cuorgne,135,21,5,135
Côte d'Ivoire,Dabakala,35,18,0,35
India,Chatrapur,139,48,1,139
India,Chhoti Sadri,192,35,0,192
Czechia,Chodov,66,41,2,66
Thailand,Chon Daen,34,24,0,34
Spain,Cieza,31,31,1,23
India,Khatima,151,136,0,151
Poland,Kielce,79,36,1,79
Greece,Kilkis,74,46,1,74
Azerbaijan,Kirovskiy,51,41,0,51
Bangladesh,Kishorganj,66,45,3,66
Finland,Kokkola,29,29,2,18
Netherlands,Kollumerland,34,34,0,15
Japan,Konosu,31,31,4,21
Germany,Korntal Munchingen,52,28,6,52
Palau,Koror,16,16,0,7
India,Kotagiri,27,21,0,27
India,Kotma,180,59,0,180
Malaysia,Kuala Perlis,67,61,0,67
Russian Federation,Kulunda,34,34,0,30
Republic of North Macedonia,Kumanovo,53,36,1,53
Germany,Kunzell,66,41,1,66
Croatia,Kutina,63,32,1,63
Spain,La Orotava,41,41,0,13
Germany,Lage,35,35,1,35
United States of America,Lake City,56,17,5,56
Thailand,Lampang,34,23,1,34
Iran (Islamic Republic of),Langarud,141,41,1,141
Germany,Langenau,47,36,3,47
France,Laon,59,28,3,59
Germany,Lauf,52,45,2,52
Suriname,Lelydorp,44,18,0,44
Serbia,Leskovac,50,35,0,50
Germany,Leutenbach,50,38,4,50
Netherlands,Schijndel,32,32,2,25
Belgium,Schoten,34,29,4,34
Israel,Sederot,65,49,2,65
India,Sehore,196,37,0,196
Russian Federation,Severouralsk,31,31,0,3
United States of America,Shafter,53,18,11,53
China,Shuangyang,86,86,1,65
Russian Federation,Sibay,36,36,0,25
Finland,Siilinjarvi,32,32,2,24
Turkey,Silopi,56,56,0,26
France,Sin Le Noble,51,24,5,51
Singapore,Singapore,91,29,4,91
United States of America,Snyder,79,29,0,79
France,Soisy Sous Montmorency,61,25,4,61
Brazil,Solanea,30,16,1,30
Russian Federation,Soldato Aleksandrovskoye,36,36,0,30
Mexico,San Gabriel Casa Blanca,82,8,6,82
Colombia,San Pedro De Uraba,18,13,0,18
Costa Rica,San Ramon,62,2,12,62
United States of America,Sandwich,35,32,4,35
France,Sannois,67,22,5,67
Cuba,Santiago De Cuba,70,18,7,70
Guatemala,Santiago Sacatepequez,122,2,10,122
Brazil,Sao Gabriel Da Cachoeira,17,3,0,17
Brazil,Sao Joao Nepomuceno,78,0,6,78
Pakistan,Sarai Naurang,175,85,0,175
Republic of North Macedonia,Saraj,54,39,0,54
South Africa,Somerset West,259,9,8,259
United States of America,Southgate,33,33,5,33
South Africa,Springs,175,12,19,175
Serbia,Sremska Kamenica,117,43,1,117
France,Strasbourg,51,30,4,51
India,Suchindram,52,23,0,52
Indonesia,Sumenep,51,35,0,51
United States of America,Tavares,94,94,0,16
Japan,Tawaramoto,72,20,11,72
Ukraine,Terebovlya,59,44,0,59
Turkey,Terme,37,37,0,30
Italy,Terranuova Bracciolini,69,69,0,43
United States of America,Terre Haute,62,38,3,62
United States of America,Thornton,45,31,5,45
United States of America,Tonawanda,38,30,1,38
United States of America,Tooele,50,41,1,50
,Trapani,58,47,0,58
Russian Federation,Tselina,45,45,0,21
India,Tufanganj,151,14,10,151
Colombia,Tulua,31,15,0,31
United Republic of Tanzania,Tumbi,20,20,0,17
India,Tundla,180,39,13,180
Russian Federation,Turinsk,43,43,0,32
United States of America,Twinsburg,53,39,2,53
Mexico,Uman,59,21,1,59
Austria,Wels,75,55,0,75
Germany,Wennigsen,44,44,0,32
United States of America,Westerly,61,43,5,61
South Africa,Westonaria,158,19,14,158
Switzerland,Wettingen,58,55,0,58
United States of America,White Bear Lake,51,30,1,51
United States of America,White Center,52,27,7,52
United States of America,Wixom,57,32,2,57
Netherlands,Woerden,40,40,0,31
Germany,Wolfenbuttel,44,44,0,35
Croatia,Virovitica,62,56,0,62
United States of America,Visalia,53,20,4,53
Madagascar,Vohibinany,55,12,0,55
Netherlands,Voorhout,38,38,1,33
Netherlands,Waalwijk,40,40,0,39
Australia,Wagga Wagga,19,15,2,19
Germany,Wald Michelbach,62,59,0,62
Germany,Weilerswist,56,47,0,56
China,Xinzhi,152,25,20,152
China,Xiuyan,51,43,2,51
United States of America,Ironton,71,43,5,71
Japan,Isehara,37,37,2,16
United States of America,Iselin,94,20,20,94
Brazil,Itarare,55,13,1,55
Brazil,Itarema,45,22,0,45
Belarus,Ivanava,33,33,1,20
India,Jamnagar,132,27,0,132
India,Jaswantnagar,211,98,1,211
India,Jatara,199,50,0,199
China,Jiangyin,169,169,9,155
China,Jieshi,168,168,2,84
Brazil,Joao Pinheiro,22,10,1,22
Lebanon,Jubayl,71,45,3,71
Mexico,Juchitan,69,17,2,69
Thailand,Kaeng Khlo,39,28,0,39
India,Kairana,156,156,1,154
Greece,Kamateron,51,45,0,51
Pakistan,Kamir,182,128,1,182
Democratic Republic of the Congo,Kaniama,266,43,13,266
Turkey,Karabuk,38,38,0,38
Indonesia,Karanganyar,72,35,0,72
Kenya,Karuri,76,29,1,76
Indonesia,Kasihan,57,33,0,57
,Kavaratti,58,20,0,58
Japan,Kawanishi,50,43,3,50
United States of America,Kaysville,32,26,5,32
United States of America,Kenosha,58,23,14,58
India,Daryapur,113,39,0,113
India,Dasna,165,144,2,165
India,Daurala,160,118,1,160
France,Denain,59,32,3,59
India,Dhanbad,128,78,1,128
India,Dibai,162,131,2,162
Russian Federation,Divnogorsk,36,36,0,18
United Republic of Tanzania,Dongobesh,19,17,0,19
Czechia,Dvur Kralove,75,40,1,75
United States of America,Eastchester,79,15,23,79
Kazakhstan,Ekibastuz,51,32,2,51
United States of America,Elkridge,53,25,12,53
United States of America,Elyria,89,14,20,89
Italy,Narni,42,42,2,32
Bangladesh,Narsingdi,178,49,2,178
Pakistan,Nasirabad,162,69,1,162
,Navelim,83,24,0,83
Ghana,Navrongo,57,16,0,57
Japan,Naze,67,67,0,39
Switzerland,Neuchatel,33,28,1,33
United States of America,New Braunfels,47,20,3,47
United States of America,New Orleans,60,17,9,60
Netherlands,Nieuwegein,39,28,4,39
Russian Federation,Nizhnevartovsk,46,32,0,46
Bolivia (Plurinational State of),Puerto Quijarro,38,15,0,38
Switzerland,Pully,30,30,0,30
Poland,Pyskowice,43,28,1,43
Tunisia,Qasr Hallal,47,47,1,40
Mozambique,Quelimane,24,24,0,23
India,Quepem,68,24,0,68
Philippines,Quezon,113,27,2,113
Guatemala,San Luis Jilotepeque,62,10,6,62
Mali,San,53,17,0,53
Guatemala,Santa Catarina Mita,69,7,7,69
Mexico,Santiago Tuxtla,62,18,3,62
United States of America,Scottsboro,40,17,7,40
India,Shahada,151,31,0,151
Russian Federation,Shakhovskaya,32,32,0,29
Belgium,Ranst,38,29,3,38
Republic of Moldova,Rascani,68,45,0,68
Pakistan,Ratodero,165,75,1,165
,Rembang,107,61,1,107
Italy,Rimini,42,42,1,32
United States of America,River Forest,82,9,30,82
Brazil,Rosario Do Sul,28,11,1,28
Russian Federation,Rubtsovsk,37,37,0,28
Belgium,Rumst,37,28,3,37
Poland,Rypin,37,37,0,27
Malaysia,Sabak,51,43,1,51
Azerbaijan,Sabuncu,60,39,0,60
Côte d'Ivoire,Sakassou,55,15,0,55
Dominican Republic,Salcedo,155,11,11,155
Brazil,Salinopolis,31,15,0,31
Canada,Salmon Arm,26,26,1,23
Spain,Salobrena,35,24,4,35
Russian Federation,Samarskoye,40,40,2,21
Russian Federation,Kotelniki,63,24,11,63
Gabon,Koulamoutou,80,26,0,80
Ukraine,Krasyliv,64,42,0,64
Croatia,Krizevci,43,33,1,43
Malaysia,Kuala Selangor,52,40,1,52
India,Kumbhraj,156,42,0,156
India,Kundla,154,30,0,154
Russian Federation,Kushchevskaya,42,42,0,21
Namibia,Mariental,97,20,0,97
United States of America,Marshalltown,46,23,8,46
Mozambique,Matola,66,20,1,66
Germany,Meckenbeuren,33,32,1,33
Russian Federation,Medvedevo,31,31,0,8
Iran (Islamic Republic of),Mehriz,154,45,0,154
United Kingdom of Great Britain and Northern Ireland,Melton Mowbray,28,28,2,25
Italy,Merano,30,30,0,10
Ethiopia,Metu,61,13,0,61
Morocco,Tawnat,46,29,2,46
Lithuania,Telsiai,53,36,0,53
Indonesia,Teluk Nibung,64,32,0,64
Austria,Ternitz,27,27,1,20
United States of America,Tewksbury,46,46,2,39
Thailand,Tha Muang,41,19,0,41
South Africa,Theunissen,81,16,3,81
France,Thiais,55,18,6,55
Belgium,Thuin,40,24,3,40
United States of America,Tiffin,52,23,9,52
Brazil,Tijucas,52,14,4,52
Russian Federation,Suvorov,56,29,1,56
Japan,Suwa,42,42,1,22
Slovakia,Svidnik,54,28,1,54
Czechia,Tachov,31,31,1,23
China,Tali,151,144,13,151
Ukraine,Tarashcha,53,43,0,53
Brazil,Tarauaca,11,2,0,11
Japan,Shiogama,40,40,0,14
United States of America,Shoreview,46,32,8,46
Russian Federation,Shumerlya,28,28,0,13
Pakistan,Sibi,159,81,0,159
Germany,Sinzheim,34,34,1,27
Guatemala,Siquinala,115,3,15,115
India,Sirathu,227,47,0,227
India,Sojitra,155,35,0,155
Indonesia,Srandakan,42,24,0,42
United States of America,North Highlands,50,28,8,50
,Ocean City,71,40,4,71
Mexico,Ojinaga,65,28,0,65
Poland,Olesno,38,30,1,38
India,Mulanur,51,25,0,51
Ukraine,Mykolayiv,57,32,1,57
Japan,Nagato,43,43,1,28
Japan,Nakanojo,37,37,1,29
Japan,Nakatsu,52,52,1,34
United States of America,Pico Rivera,144,3,35,144
United States of America,Pikesville,53,44,4,53
Pakistan,Pind Dadan Khan,209,154,1,209
Brazil,Pinhao,17,11,1,17
Brazil,Pirapozinho,29,14,1,29
France,Plerin,30,30,1,24
Panama,Pocri,63,15,5,63
Russian Federation,Podporozhye,35,35,0,19
Argentina,Posadas,31,13,1,31
United Republic of Tanzania,Kirando,25,18,0,25
Ukraine,Kirovohrad,67,41,0,67
United Republic of Tanzania,Korogwe,41,18,0,41
Serbia,Urosevac,53,40,1,53
Brazil,Uruacu,43,3,2,43
Brazil,Urupes,55,7,1,55
Russian Federation,Uspenskoye,44,44,1,23
India,Vada,152,29,1,152
Armenia,Vagharshapat,60,41,0,60
